layer_or_model,field_name,data_type,required_or_optional,default_value,description,governance_or_privacy_note,canonical_owner
SimplificationPair,protected_meaning_units,list[string],required,[],Core concepts that must not be lost in simplification,Semantic preservation,Component 3
SimplificationPair,review,ReviewBlock,required,N/A,Review and rubric scoring block,Human curation rubric,Component 3
PrivateInteractionRecord,interaction_id,string,required,N/A,Unique interaction attempt ID (e.g. INT-20260923-000001),Operational audit identifier,Component 3
PrivateInteractionRecord,learner_id,string,required,N/A,Pseudonymous learner identifier (CHILD-XXX),STRICTLY PRIVATE,Component 3
PrivateInteractionRecord,session_id,string,required,N/A,Activity session UUID in relational database,Relational database FK,Component 3
PrivateInteractionRecord,activity_id,string,required,N/A,Activity identifier executed by learner,Cross-reference ID,Component 3
PrivateInteractionRecord,activity_owner,string (enum),required,component_3_language,Owner of activity executed,Governance metadata,Component 3
PrivateInteractionRecord,primary_domain,string (enum),required,vocabulary,Domain of activity (vocabulary/grammar/comp/instruction),Domain scoring,Component 3
PrivateInteractionRecord,occurred_at,datetime,required,UTC Now,Occurrence timestamp of interaction attempt,ISO 8601 UTC,Component 3
PrivateInteractionRecord,attempt_number,integer,required,1,Attempt sequence number (1, 2, or 3),Scaffolding progression,Component 3
PrivateInteractionRecord,support_level_used,string (enum),required,moderate,Support tier active during attempt (mild/moderate/strong),Scaffolding level,Component 3
PrivateInteractionRecord,response_mode,string (enum),required,manual,Response input mode (manual/speech/touch/ar_interaction),Input channel,Component 3
PrivateInteractionRecord,response_text_private,string,optional,null,Raw uncurated response transcript,STRICTLY EXCLUDED FROM EXPORTS,Component 3
PrivateInteractionRecord,normalized_response,string,optional,null,Lowercased normalized response,Private learner evidence,Component 3
PrivateInteractionRecord,outcome,string (enum),required,in_progress,Attempt evaluation outcome (correct/partially_correct/incorrect/etc.),Outcome indicator,Component 3
PrivateInteractionRecord,error_categories,list[string],required,[],Educational language error tags (e.g. word_order, naming),Diagnostic observations,Component 3
PrivateInteractionRecord,response_time_ms,integer,required,0,Learner response latency in milliseconds,Performance latency,Component 3
PrivateInteractionRecord,score_before,float,optional,null,Domain performance score before attempt (0-100),Domain scoring,Component 3
PrivateInteractionRecord,score_delta,float,optional,null,Change applied to domain score,Domain scoring,Component 3
PrivateInteractionRecord,score_after,float,optional,null,Domain performance score after attempt (0-100),Domain scoring,Component 3
PrivateInteractionRecord,evidence_count_after,integer,required,0,Cumulative domain evidence count,Evidence weighting,Component 3
PrivateInteractionRecord,adult_confirmed,boolean,required,false,Whether attempt was confirmed by supervising adult,Score update prerequisite,Component 3
PrivateInteractionRecord,screening_risk_modified,boolean,required,false,Must always be false (Component 1 screening risk is immutable),Read-only invariant check,Component 3
PrivateInteractionRecord,consent,ConsentMetadata,required,N/A,Consent metadata block,Privacy safeguard,Component 3
DeidentifiedInteractionExport,interaction_id,string,required,N/A,Pseudonymous interaction identifier,Export allowlist,Component 3
DeidentifiedInteractionExport,learner_id,string,required,N/A,De-identified pseudonymous learner ID,Export allowlist,Component 3
DeidentifiedInteractionExport,activity_id,string,required,N/A,Activity identifier,Export allowlist,Component 3
DeidentifiedInteractionExport,primary_domain,string (enum),required,vocabulary,Domain of activity,Export allowlist,Component 3
DeidentifiedInteractionExport,attempt_number,integer,required,1,Attempt number (1-3),Export allowlist,Component 3
DeidentifiedInteractionExport,support_level_used,string (enum),required,moderate,Support tier used,Export allowlist,Component 3
DeidentifiedInteractionExport,response_mode,string (enum),required,manual,Response input mode,Export allowlist,Component 3
DeidentifiedInteractionExport,outcome,string (enum),required,in_progress,Outcome classification,Export allowlist,Component 3
DeidentifiedInteractionExport,error_categories,list[string],required,[],Educational error categories,Export allowlist,Component 3
DeidentifiedInteractionExport,response_time_ms,integer,required,0,Response latency in ms,Export allowlist,Component 3
DeidentifiedInteractionExport,score_delta,float,optional,null,Domain score delta,Export allowlist,Component 3
DeidentifiedInteractionExport,local_preliminary_trend,string,optional,null,Local preliminary trend indicator for Component 4 export,Analytics indicator,Component 3
LexiconEntry,entry_id,string,required,N/A,Unique lexicon entry ID (e.g. LEX-EN-000001),Immutable identifier,Component 3
LexiconEntry,word,string,required,N/A,Target headword or complex lemma,Vocabulary token,Component 3
LexiconEntry,normalized_form,string,required,N/A,Lowercased stripped normalized word,Normalized token,Component 3
LexiconEntry,part_of_speech,string,optional,null,Part of speech (noun/verb/adjective/preposition),Syntactic category,Component 3
LexiconEntry,age_band,string,optional,null,Target developmental age band (e.g. 4-6, 6-8),Age appropriateness,Component 3
LexiconEntry,difficulty_tier,integer,required,2,Lexical tier (1=basic, 2=high-frequency academic, 3=domain specific),Tiered vocabulary system,Component 3
LexiconEntry,simpler_alternatives,list[string],required,[],Child-friendly alternative words or phrases,Substitution candidates,Component 3
LexiconEntry,child_friendly_definition,string,optional,null,Simple child-friendly explanation,Definitional scaffolding,Component 3
LexiconEntry,example_sentence,string,optional,null,Contextual illustrative example sentence,Contextual cue,Component 3
ReleaseManifest,manifest_id,string,required,N/A,Unique manifest identifier (e.g. MANIFEST-0.1.0),Manifest identifier,Component 3
ReleaseManifest,dataset_name,string,required,N/A,Name of dataset collection (e.g. Language_Simplification_MVP_Datasets),Dataset naming,Component 3
ReleaseManifest,dataset_version,string,required,0.1.0,Semantic version of dataset content release,Content SemVer,Component 3
ReleaseManifest,schema_version,string,required,1.0.0,Semantic version of schemas used,Schema SemVer,Component 3
ReleaseManifest,release_status,string,required,draft,Release status (draft/rc/approved_release),Release governance,Component 3
ReleaseManifest,created_at,datetime,required,UTC Now,Manifest creation timestamp,ISO 8601 UTC,Component 3
ReleaseManifest,record_counts,RecordCountSummary,required,N/A,Breakdown of record counts across layers,Accounting verification,Component 3
ReleaseManifest,files,list[ReleaseFileEntry],required,[],List of files, sizes, and complete 64-character SHA-256 hashes,Integrity verification,Component 3
