File,LineNumber,MatchedTerm,Classification,LineSnippet,Notes
SYSTEM_CONCEPT.md,166,clinical,research quotation/reference,- **Caregiver Notice**: Clinical alert sent to dashboard showing the child had difficulty with prepositions and spatial targets.,"Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,203,clinical,research quotation/reference,## 7. Research & Clinical Value,"Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,214,clinical,research quotation/reference,The system includes built-in exports for empirical papers and clinical studies:,"Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_DOCUMENTATION.md,15,diagnostic,corrected educational terminology,> **Non-Diagnostic Disclaimer:**,System architectural and educational terminology documentation
SYSTEM_DOCUMENTATION.md,16,diagnostic,corrected educational terminology,> This application provides educational language support and research-oriented performance tracking. It is **not a diagnostic instrument** a,Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,64,screening_risk_level,valid screening terminology,| **DLD Risk Indicator** | **Component 1** / Authorized Expert | **No** | Stored as a read-only snapshot (`screening_risk_level`). |,Component 1 owned DLD risk screening indicator (read-only snapshot)
SYSTEM_DOCUMENTATION.md,70,recommended_support_level,corrected educational terminology,"| **Educational Support Level** | **This Component** | **Yes** | Calculates `recommended_support_level` (`mild`, `moderate`, `strong`). |",Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,73,clinical,corrected educational terminology,| **Clinical DLD Diagnosis** | **Qualified Expert** | **Never** | Outside the software's responsibility. |,System architectural and educational terminology documentation
SYSTEM_DOCUMENTATION.md,121,clinical,valid screening terminology,"The clinical risk indicator received from Component 1 (`screening_risk_level`: `low`, `moderate`, `high`) is **immutable** during activity p",Component 1 owned DLD risk screening indicator (read-only snapshot)
SYSTEM_DOCUMENTATION.md,123,recommended_support_level,corrected educational terminology,This component calculates `recommended_support_level`:,Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,148,screening_risk_level,valid screening terminology,"- `screening_risk_level` (String: `low`, `moderate`, `high` — read-only from Component 1)",Component 1 owned DLD risk screening indicator (read-only snapshot)
SYSTEM_DOCUMENTATION.md,149,recommended_support_level,corrected educational terminology,"- `recommended_support_level` (String: `mild`, `moderate`, `strong`)",Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,164,screening_risk_level,valid screening terminology,- `screening_risk_level` (read-only snapshot),Component 1 owned DLD risk screening indicator (read-only snapshot)
SYSTEM_DOCUMENTATION.md,165,recommended_support_level,corrected educational terminology,- `recommended_support_level`,Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,173,CLI,corrected educational terminology,- `educational_summary_notes` (Educator / clinician summary notes),Standardized educational performance metric and support scaffold
SYSTEM_DOCUMENTATION.md,201,clinical,corrected educational terminology,The performance indicators are derived from interactions within this application and are intended to support educational personalization and,Standardized educational performance metric and support scaffold
backend\app\api\routes.py,221,diagnostic,corrected educational terminology,"""""""Returns pure child-safe payload stripped of diagnostic scores and research logs.""""""",Educational support terminology
backend\app\api\routes.py,773,risk_changed,legacy field retained temporarily,"""risk_changed"": r.risk_changed,",Database schema backward-compatibility column retained during Stage 12
backend\app\api\routes.py,774,screening_risk_level,valid screening terminology,"""screening_risk_level"": r.screening_risk_level or r.risk_before,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\api\routes.py,775,recommended_support_level,corrected educational terminology,"""recommended_support_level"": r.recommended_support_level,",Standardized educational performance metric and support scaffold
backend\app\api\routes.py,785,diagnostic,corrected educational terminology,"""educational_summary_notes"": r.educational_summary_notes or r.diagnostic_notes,",Standardized educational performance metric and support scaffold
backend\app\api\routes.py,786,diagnostic,corrected educational terminology,"""diagnostic_notes"": r.diagnostic_notes,",Educational support terminology
backend\app\api\routes.py,825,risk_changed,legacy field retained temporarily,"""risk_changed"": r.risk_changed,",Database schema backward-compatibility column retained during Stage 12
backend\app\api\routes.py,826,screening_risk_level,valid screening terminology,"""screening_risk_level"": r.screening_risk_level or r.risk_before,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\api\routes.py,827,recommended_support_level,corrected educational terminology,"""recommended_support_level"": r.recommended_support_level,",Standardized educational performance metric and support scaffold
backend\app\api\routes.py,838,diagnostic,corrected educational terminology,"""educational_summary_notes"": r.educational_summary_notes or r.diagnostic_notes,",Standardized educational performance metric and support scaffold
backend\app\api\routes.py,839,diagnostic,corrected educational terminology,"""diagnostic_notes"": r.diagnostic_notes,",Educational support terminology
backend\app\api\routes.py,987,screening_risk_level,valid screening terminology,"""screening_risk_level"": learner.screening_risk_level,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\api\routes.py,991,clinical,corrected educational terminology,# 6. Apply Screening Profile Update (Read-only clinical risk snapshot),Educational support terminology
backend\app\api\routes.py,992,screening_risk_level,valid screening terminology,learner.screening_risk_level = req.risk_level,Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\api\routes.py,993,risk_support_level,legacy field retained temporarily,learner.risk_support_level = req.risk_level,Database schema backward-compatibility column retained during Stage 12
backend\app\api\routes.py,1012,screening_risk_level,valid screening terminology,"""screening_risk_level"": learner.screening_risk_level,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\database\models.py,22,screening_risk_level,valid screening terminology,"screening_risk_level = Column(String(20), nullable=False, default=""moderate"")  # low, moderate, high (read-only snapshot from Component 1)",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\database\models.py,23,recommended_support_level,corrected educational terminology,"recommended_support_level = Column(String(20), nullable=False, default=""moderate"")  # mild, moderate, strong (calculated for educational per",Standardized educational performance metric and support scaffold
backend\app\database\models.py,24,risk_support_level,legacy field retained temporarily,"risk_support_level = Column(String(20), nullable=True)  # legacy compatibility field",Database schema backward-compatibility column retained during Stage 12
backend\app\database\models.py,474,risk_support_level,legacy field retained temporarily,"# Score Snapshots (JSON objects with vocabulary_score, grammar_score, comprehension_score, instruction_following_score, risk_support_level, ",Database schema backward-compatibility column retained during Stage 12
backend\app\database\models.py,482,risk_changed,legacy field retained temporarily,"risk_changed = Column(Boolean, nullable=False, default=False)",Database schema backward-compatibility column retained during Stage 12
backend\app\database\models.py,483,screening_risk_level,valid screening terminology,"screening_risk_level = Column(String(20), nullable=True)    # read-only snapshot",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\database\models.py,484,recommended_support_level,corrected educational terminology,"recommended_support_level = Column(String(20), nullable=True) # educational support level",Standardized educational performance metric and support scaffold
backend\app\database\models.py,506,diagnostic,corrected educational terminology,# Educational Summary (Renamed safely from diagnostic_notes),Standardized educational performance metric and support scaffold
backend\app\database\models.py,508,diagnostic,corrected educational terminology,"diagnostic_notes = Column(Text, nullable=True)  # legacy compatibility field",Educational support terminology
backend\app\database\seed.py,34,risk_support_level,legacy field retained temporarily,"risk_support_level=l_data[""risk_support_level""],",Database schema backward-compatibility column retained during Stage 12
backend\app\generation\llm_generator.py,34,diagnostic,corrected educational terminology,"""Never use clinical or diagnostic terms (e.g. 'DLD', 'disorder', 'risk score').\n""",Educational support terminology
backend\app\generation\llm_generator.py,65,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\grammar_analysis\grammar_extractor.py,13,CLI,corrected educational terminology,import spacy.cli,Educational support terminology
backend\app\grammar_analysis\grammar_extractor.py,14,CLI,corrected educational terminology,"spacy.cli.download(""en_core_web_sm"")",Educational support terminology
backend\app\integrations\component1\schemas.py,14,clinical,valid screening terminology,"risk_level: str = Field(..., pattern=""^(low|moderate|high)$"", description=""Read-only clinical screening risk from Component 1"")",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\integrations\component4\mock_adapter.py,79,screening_risk_level,legacy field retained temporarily,"screening_risk = getattr(learner, ""screening_risk_level"", None) or getattr(learner, ""risk_support_level"", ""moderate"")",Database schema backward-compatibility column retained during Stage 12
backend\app\integrations\component4\mock_adapter.py,80,recommended_support_level,corrected educational terminology,"recommended_support = getattr(learner, ""recommended_support_level"", ""moderate"")",Standardized educational performance metric and support scaffold
backend\app\integrations\component4\mock_adapter.py,85,screening_risk_level,valid screening terminology,"screening_risk_level=screening_risk,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\integrations\component4\mock_adapter.py,88,recommended_support_level,corrected educational terminology,"recommended_support_level=recommended_support,",Standardized educational performance metric and support scaffold
backend\app\integrations\component4\schemas.py,20,screening_risk_level,valid screening terminology,"screening_risk_level: str = Field(..., description=""Read-only screening risk level imported from Component 1"")",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\integrations\component4\schemas.py,23,recommended_support_level,corrected educational terminology,"recommended_support_level: str = Field(""moderate"", pattern=""^(mild|moderate|strong)$"")",Standardized educational performance metric and support scaffold
backend\app\personalization\controller.py,31,risk_support_level,legacy field retained temporarily,"risk = (learner.risk_support_level or ""moderate"").lower()",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\controller.py,189,risk_support_level,legacy field retained temporarily,"risk = (learner.risk_support_level or ""moderate"").lower()",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\profile_updater.py,13,screening_risk_level,valid screening terminology,2. NEVER mutates screening_risk_level (owned as a read-only snapshot from Component 1).,Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\personalization\profile_updater.py,14,recommended_support_level,corrected educational terminology,"3. Calculates recommended_support_level (mild, moderate, strong) for educational scaffolding.",Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,57,screening_risk_level,legacy field retained temporarily,"screening_risk = getattr(learner, ""screening_risk_level"", None) or getattr(learner, ""risk_support_level"", ""moderate"")",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\profile_updater.py,63,screening_risk_level,valid screening terminology,"""screening_risk_level"": screening_risk,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\personalization\profile_updater.py,64,recommended_support_level,corrected educational terminology,"""recommended_support_level"": getattr(learner, ""recommended_support_level"", ""moderate""),",Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,65,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\profile_updater.py,125,CLI,corrected educational terminology,cli = round(,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,135,CLI,corrected educational terminology,if cli < 48.0 or target_score < 40.0:,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,137,CLI,corrected educational terminology,elif cli >= 70.0 and target_score >= 65.0:,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,143,CLI,corrected educational terminology,if cli < 48.0:,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,145,CLI,corrected educational terminology,elif cli < 68.0:,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,150,screening_risk_level,valid screening terminology,# 8. PERSIST: Note that screening_risk_level is NEVER modified by activity completion,Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\personalization\profile_updater.py,151,recommended_support_level,corrected educational terminology,learner.recommended_support_level = new_support,Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,163,screening_risk_level,valid screening terminology,"""screening_risk_level"": screening_risk,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\personalization\profile_updater.py,164,recommended_support_level,corrected educational terminology,"""recommended_support_level"": learner.recommended_support_level,",Standardized educational performance metric and support scaffold
backend\app\personalization\profile_updater.py,165,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\profile_updater.py,167,CLI,legacy field retained temporarily,"""composite_language_index"": cli",Database schema backward-compatibility column retained during Stage 12
backend\app\personalization\profile_updater.py,201,risk_changed,legacy field retained temporarily,"""risk_changed"": False,  # Strictly False: activity evaluation never changes DLD screening risk",Database schema backward-compatibility column retained during Stage 12
backend\app\retry_controller\retry_manager.py,21,diagnostic,corrected educational terminology,and emits comprehensive clinician diagnostic summary.,Educational support terminology
backend\app\retry_controller\retry_manager.py,129,diagnostic,corrected educational terminology,# Emit Component 4 diagnostic pattern event,Educational support terminology
backend\app\retry_controller\retry_manager.py,133,diagnostic,corrected educational terminology,"event_type=""diagnostic_pattern_event"",",Educational support terminology
backend\app\retry_controller\retry_manager.py,139,diagnostic,corrected educational terminology,"""diagnostic_notes"": escalation_payload.get(""researcher_summary"", """")",Educational support terminology
backend\app\retry_controller\retry_manager.py,191,diagnostic,corrected educational terminology,- Researcher / Clinician summary: Comprehensive diagnostic audit,Educational support terminology
backend\app\retry_controller\retry_manager.py,248,diagnostic,corrected educational terminology,"""""""Extracts grammar and vocabulary diagnostic observations.""""""",Educational support terminology
backend\app\schemas\schemas.py,12,screening_risk_level,valid screening terminology,"screening_risk_level: str = Field(""moderate"", pattern=""^(low|moderate|high)$"", description=""Read-only screening risk level from Component 1""",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\schemas\schemas.py,13,recommended_support_level,corrected educational terminology,"recommended_support_level: str = Field(""moderate"", pattern=""^(mild|moderate|strong)$"", description=""Calculated support level for educational",Standardized educational performance metric and support scaffold
backend\app\schemas\schemas.py,14,risk_support_level,legacy field retained temporarily,"risk_support_level: Optional[str] = Field(""moderate"", description=""Legacy compatibility field"")",Database schema backward-compatibility column retained during Stage 12
backend\app\schemas\schemas.py,463,risk_changed,legacy field retained temporarily,risk_changed: bool = False,Database schema backward-compatibility column retained during Stage 12
backend\app\schemas\schemas.py,464,screening_risk_level,valid screening terminology,screening_risk_level: Optional[str] = None,Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\schemas\schemas.py,465,recommended_support_level,corrected educational terminology,recommended_support_level: Optional[str] = None,Standardized educational performance metric and support scaffold
backend\app\schemas\schemas.py,479,diagnostic,corrected educational terminology,diagnostic_notes: Optional[str] = None,Educational support terminology
backend\app\security\rate_limit.py,10,CLI,corrected educational terminology,"self.clients: Dict[str, List[float]] = defaultdict(list)",Educational support terminology
backend\app\security\rate_limit.py,12,CLI,corrected educational terminology,"def is_allowed(self, client_ip: str) -> bool:",Educational support terminology
backend\app\security\rate_limit.py,14,CLI,corrected educational terminology,timestamps = self.clients[client_ip],Educational support terminology
backend\app\security\rate_limit.py,18,CLI,corrected educational terminology,self.clients[client_ip] = valid_timestamps,Educational support terminology
backend\app\security\rate_limit.py,29,CLI,corrected educational terminology,"client_ip = request.client.host if request.client else ""127.0.0.1""",Educational support terminology
backend\app\security\rate_limit.py,30,CLI,corrected educational terminology,if not rate_limiter.is_allowed(client_ip):,Educational support terminology
backend\app\services\evaluation_service.py,225,diagnostic,corrected educational terminology,Child-safe: diagnostic codes are strictly clinician-facing.,Educational support terminology
backend\app\services\evaluation_service.py,243,CLI,corrected educational terminology,clinician_observations = [],Educational support terminology
backend\app\services\evaluation_service.py,247,CLI,corrected educational terminology,clinician_observations.append({,Educational support terminology
backend\app\services\evaluation_service.py,268,diagnostic,corrected educational terminology,"""diagnostic_summary"": {",Educational support terminology
backend\app\services\evaluation_service.py,270,CLI,corrected educational terminology,"""observations_detail"": clinician_observations,",Educational support terminology
backend\app\services\evaluation_service.py,481,risk_support_level,legacy field retained temporarily,"""risk_level"": exp.learner.risk_support_level if exp.learner else None,",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,45,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,441,screening_risk_level,legacy field retained temporarily,"screening_risk = getattr(learner, ""screening_risk_level"", None) or getattr(learner, ""risk_support_level"", ""moderate"")",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,447,screening_risk_level,valid screening terminology,"""screening_risk_level"": screening_risk,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\services\session_service.py,448,recommended_support_level,corrected educational terminology,"""recommended_support_level"": getattr(learner, ""recommended_support_level"", ""moderate""),",Standardized educational performance metric and support scaffold
backend\app\services\session_service.py,449,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,485,diagnostic,corrected educational terminology,# Build educational summary notes (non-diagnostic wording),Standardized educational performance metric and support scaffold
backend\app\services\session_service.py,502,recommended_support_level,corrected educational terminology,"f""Recommended support level: {profile_update['after'].get('recommended_support_level')}. """,Standardized educational performance metric and support scaffold
backend\app\services\session_service.py,503,screening_risk_level,valid screening terminology,"f""Screening risk remains read-only from Component 1 ({score_before_snap['screening_risk_level']}).""",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\services\session_service.py,526,screening_risk_level,valid screening terminology,"risk_before=score_before_snap[""screening_risk_level""],",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\services\session_service.py,527,screening_risk_level,valid screening terminology,"risk_after=score_before_snap[""screening_risk_level""],",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\services\session_service.py,528,risk_changed,legacy field retained temporarily,"risk_changed=False,",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,529,screening_risk_level,valid screening terminology,"screening_risk_level=score_before_snap[""screening_risk_level""],",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\app\services\session_service.py,530,recommended_support_level,corrected educational terminology,"recommended_support_level=profile_update[""after""].get(""recommended_support_level""),",Standardized educational performance metric and support scaffold
backend\app\services\session_service.py,544,diagnostic,corrected educational terminology,"diagnostic_notes=educational_notes,  # keep alias populated for legacy queries",Standardized educational performance metric and support scaffold
backend\app\services\session_service.py,572,diagnostic,corrected educational terminology,"Returns a clean, child-safe view payload with NO diagnostic risk scores,",Educational support terminology
backend\app\services\session_service.py,573,clinical,corrected educational terminology,"clinical labels, or research logs.",Educational support terminology
backend\app\services\session_service.py,716,risk_support_level,legacy field retained temporarily,"""risk_support_level"": snapshot.get(""risk_support_level"", learner.risk_support_level),",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,724,risk_support_level,legacy field retained temporarily,"""risk_support_level"": learner.risk_support_level,",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,734,diagnostic,corrected educational terminology,diagnostic_notes = (,Educational support terminology
backend\app\services\session_service.py,758,risk_support_level,legacy field retained temporarily,"risk_before=score_before[""risk_support_level""],",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,759,risk_support_level,legacy field retained temporarily,"risk_after=score_after[""risk_support_level""],",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,760,risk_changed,legacy field retained temporarily,"risk_changed=(score_before[""risk_support_level""] != score_after[""risk_support_level""]),",Database schema backward-compatibility column retained during Stage 12
backend\app\services\session_service.py,763,diagnostic,corrected educational terminology,"diagnostic_notes=diagnostic_notes,",Educational support terminology
backend\app\validation\child_suitability.py,9,diagnostic,child-facing term removed,- Strict isolation of clinical/diagnostic jargon,Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,20,clinical,child-facing term removed,PROHIBITED_CLINICAL_TERMS = [,Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,23,clinical,child-facing term removed,"""diagnosis"", ""clinical"", ""at-risk"", ""moderate risk"", ""high risk"",",Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,66,diagnostic,child-facing term removed,# 2. Check Clinical / Diagnostic Terminology,Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,67,clinical,child-facing term removed,for term in self.PROHIBITED_CLINICAL_TERMS:,Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,70,clinical,child-facing term removed,"violations.append(f""clinical_terminology_leakage: '{term}'"")",Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\child_suitability.py,101,clinical,child-facing term removed,"safety_valid = len([v for v in violations if ""prohibited"" in v or ""clinical"" in v]) == 0",Safety filter preventing clinical jargon from appearing in child instructions
backend\app\validation\validator.py,12,clinical,corrected educational terminology,"- Child Suitability & Safety (prohibited terms, clinical jargon, sentence length)",Educational support terminology
backend\tests\test_activity_sessions_and_retries.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,8,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,9,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,20,CLI,research quotation/reference,"def test_high_risk_learner_scaffolding_progression(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,34,CLI,research quotation/reference,"s_res = client.post(""/api/activity-sessions"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,45,CLI,research quotation/reference,"att1_res = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,53,CLI,research quotation/reference,"client.patch(f""/api/attempts/{att1['id']}/response"", json={""manual_transcript"": ""Fish live water.""})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,54,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/confirm-response"", json={""confirmed"": True})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,55,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,56,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/transition"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,59,CLI,research quotation/reference,"att2_res = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,67,CLI,research quotation/reference,"client.patch(f""/api/attempts/{att2['id']}/response"", json={""manual_transcript"": ""under""})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,68,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/confirm-response"", json={""confirmed"": True})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,69,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,70,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/transition"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,73,CLI,research quotation/reference,"att3_res = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
